area_name,area_type,ref_period,crime_or_offence,measure_type,value
East Lothian,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,2
East Lothian,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,42
East Lothian,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,575
East Lothian,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,462
East Lothian,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,79
East Lothian,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,341
East Ayrshire,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
East Ayrshire,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,1
East Ayrshire,Local Authority,2010/2011,crimes-group-1-common-assault,count,1649
East Ayrshire,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,129
Dundee City,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,150
Dundee City,Local Authority,2010/2011,crimes-group-1-common-assault,count,2556
Dundee City,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,0
Dundee City,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
East Ayrshire,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,2080
East Ayrshire,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,241
East Ayrshire,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,85
East Ayrshire,Local Authority,2010/2011,crimes-group-4-vandalism,count,1906
East Ayrshire,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,15
East Ayrshire,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,89
East Ayrshire,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,7
East Ayrshire,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,1
Dundee City,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,240
Dundee City,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,205
Dundee City,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,107
Dundee City,Local Authority,2010/2011,all-group-5-crimes-against-society,count,2211
Dundee City,Local Authority,2010/2011,all-group-6-antisocial-offences,count,3761
Dundee City,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,3019
Dundee City,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,991
Dundee City,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,3
Dundee City,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,0
Dundee City,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,4
Dundee City,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,49
Dundee City,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,24
Dundee City,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,3238
Dundee City,Local Authority,2010/2011,crimes-group-4-vandalism,count,3010
